PHOTOID, LATITUDE, LONGITUDE, DATETIME
36705812170, 62.130902, 25.669025, 2016:12:30 11:27:47
36266749634, 62.130902, 25.669025, 2016:12:30 11:35:45
36267075814, 62.131780, 25.669447, 2016:12:27 18:36:54
36931832392, 62.131794, 25.669730, 2016:12:27 18:37:11
36267072804, 62.131697, 25.669555, 2016:12:27 18:42:02
36960734171, 62.131702, 25.670058, 2016:12:27 18:45:39
36960731781, 62.131663, 25.669597, 2016:12:27 19:25:32
36960730261, 62.130588, 25.668997, 2016:12:27 19:38:03
36706185410, 62.130611, 25.667886, 2016:12:27 19:39:39
36914005326, 62.130530, 25.668275, 2016:12:27 19:40:17
36960724751, 62.130513, 25.668455, 2016:12:27 19:40:39
36706174740, 62.130461, 25.668219, 2016:12:27 19:42:28
36706167100, 62.132436, 25.670013, 2016:12:27 22:46:40
36706163850, 62.131697, 25.669255, 2016:12:28 00:51:34
36267043304, 62.131697, 25.669255, 2016:12:28 00:52:23
36960707621, 62.099833, 25.772547, 2016:12:28 09:27:30
36931807442, 62.090780, 25.758580, 2016:12:28 10:15:05
36960704061, 62.090675, 25.758747, 2016:12:28 10:46:22
36913987666, 62.091030, 25.758463, 2016:12:28 10:56:48
36931799432, 62.131008, 25.668875, 2016:12:28 11:56:03
36913983266, 62.131008, 25.668875, 2016:12:28 11:56:19
36913981526, 62.131008, 25.668875, 2016:12:28 11:57:07
36289330103, 62.131008, 25.668875, 2016:12:28 12:08:05
36289328383, 62.131008, 25.668875, 2016:12:28 12:40:06
36913975856, 62.131897, 25.669250, 2016:12:28 13:13:54
36960689831, 62.131758, 25.669261, 2016:12:28 14:38:43
36913970586, 62.131758, 25.669261, 2016:12:28 14:41:06
36289320043, 62.131758, 25.669261, 2016:12:28 14:41:47
37102251015, 62.131758, 25.669261, 2016:12:28 15:50:20
36706117890, 62.108522, 25.688522, 2016:12:28 16:18:21
36706115310, 62.108350, 25.688691, 2016:12:28 16:20:32
36289313773, 62.108300, 25.688752, 2016:12:28 16:23:37
36913958536, 62.108305, 25.688536, 2016:12:28 16:26:45
36289308793, 62.108280, 25.688730, 2016:12:28 16:27:56
36289307313, 62.108352, 25.688633, 2016:12:28 16:31:59
36289305283, 62.108355, 25.688605, 2016:12:28 16:36:53
36289303383, 62.108391, 25.688586, 2016:12:28 16:37:10
37102231335, 62.108286, 25.688494, 2016:12:28 16:42:52
36266998264, 62.107577, 25.688719, 2016:12:28 16:54:11
36266996214, 62.107497, 25.688650, 2016:12:28 16:54:57
36913937426, 62.107536, 25.688688, 2016:12:28 17:00:12
36266988334, 62.112241, 25.666783, 2016:12:28 17:08:42
36266985294, 62.112241, 25.666783, 2016:12:28 17:09:28
36266982484, 62.112277, 25.667244, 2016:12:28 17:22:05
36706085220, 62.112136, 25.667669, 2016:12:28 17:24:22
