PHOTOID, LATITUDE, LONGITUDE, DATETIME
36334903892, 65.021933, 25.469869, None
35668323534, 65.018261, 25.466150, None
36299722822, 65.022047, 25.470327, 2017:08:09 22:34:56
36420726006, 65.016108, 25.438180, 2017:08:09 17:57:09
36463943505, 65.016119, 25.438088, 2017:08:09 18:00:54
35655780453, 65.015975, 25.437230, 2017:08:09 17:55:52
36066752940, 65.016141, 25.437741, 2017:08:09 17:56:26
36326536331, 65.016122, 25.438052, 2017:08:09 17:58:18
36065543610, 65.013927, 25.466127, 2017:08:09 16:01:29
35627337924, 65.014952, 25.464052, 2017:08:09 16:00:19
35499873603, 65.014716, 25.475878, None
36264124836, 65.017960, 25.468432, None
35689216090, 65.020797, 25.485950, 2017:07:22 08:58:54
35809138632, 65.017127, 25.470158, 2017:07:16 15:16:38
34970418633, 65.021563, 25.468502, 2017:07:07 19:48:55
35610981122, 65.021483, 25.468533, 2017:07:07 19:48:06
35392350690, 65.022027, 25.470063, 2017:07:07 18:36:46
34970343533, 65.022011, 25.470130, 2017:07:07 19:27:39
35778705245, 65.021905, 25.469761, 2017:07:07 18:20:21
34938069874, 65.022208, 25.469522, 2017:07:07 18:01:25
35778125785, 65.021866, 25.469780, 2017:07:07 17:44:45
35632195961, 65.015791, 25.466580, 2017:07:06 23:27:05
35594239642, 65.015791, 25.466580, 2017:07:06 23:25:57
35368484680, 65.015936, 25.470499, 2017:07:06 10:33:52
35732528445, 65.022080, 25.470758, 2017:07:05 12:08:42
34891226614, 65.022083, 25.470705, 2017:07:05 12:07:21
34921112703, 65.013297, 25.460572, 2017:06:21 18:43:44
35343373890, 65.013663, 25.460236, 2017:06:21 18:45:25
35730684805, 65.013672, 25.460227, 2017:06:21 18:45:31
35343372580, 65.013869, 25.459444, 2017:06:21 18:47:08
35599340261, 65.014022, 25.458808, 2017:06:21 18:47:59
35730683475, 65.014122, 25.458655, 2017:06:21 18:48:18
35730682875, 65.014441, 25.458391, 2017:06:21 18:50:03
35690762686, 65.014580, 25.458016, 2017:06:21 18:51:12
34921106433, 65.014580, 25.457961, 2017:06:21 18:51:27
35690760606, 65.015366, 25.466697, 2017:06:21 23:21:49
34889188614, 65.014227, 25.465655, 2017:06:21 18:28:15
34889187774, 65.013488, 25.465127, 2017:06:21 18:29:57
35599221331, 65.013305, 25.464586, 2017:06:21 18:31:09
34889186654, 65.012602, 25.467724, 2017:06:21 18:34:39
35730561495, 65.013572, 25.463519, 2017:06:21 18:39:21
34889185594, 65.013855, 25.462897, 2017:06:21 18:40:10
35690664826, 65.013680, 25.463316, 2017:06:21 18:39:34
34920996463, 65.013411, 25.462161, 2017:06:21 18:41:27
35730558475, 65.013383, 25.462130, 2017:06:21 18:41:33
35690661366, 65.013344, 25.462119, 2017:06:21 18:41:45
35332188090, 65.024077, 25.470566, 2017:07:04 20:26:37
34878009594, 65.024077, 25.470566, 2017:07:04 20:21:53
34909737373, 65.024077, 25.470566, 2017:07:04 20:26:23
35719237135, 65.024063, 25.470419, 2017:07:04 20:15:27
35550508962, 65.024063, 25.470419, 2017:07:04 20:15:05
35679741356, 65.024063, 25.470419, 2017:07:04 20:14:22
35679706276, 65.024063, 25.470419, 2017:07:04 20:13:40
35332075750, 65.024063, 25.470419, 2017:07:04 20:13:15
34909658443, 65.024063, 25.470419, 2017:07:04 20:13:49
35588251501, 65.024063, 25.470419, 2017:07:04 20:12:35
35719115935, 65.024063, 25.470419, 2017:07:04 20:12:48
35331999650, 65.024063, 25.470419, 2017:07:04 20:12:23
34877782734, 65.024063, 25.470419, 2017:07:04 20:14:08
35550372772, 65.024072, 25.470425, 2017:07:04 20:10:01
34909496593, 65.024072, 25.470425, 2017:07:04 20:10:43
35718962535, 65.024072, 25.470425, 2017:07:04 20:09:47
35718932285, 65.024072, 25.470425, 2017:07:04 20:10:14
35588066561, 65.024077, 25.470566, 2017:07:04 20:17:55
35550265282, 65.024075, 25.470499, 2017:07:04 20:07:47
35550228632, 65.024066, 25.470497, 2017:07:04 20:17:42
35679430116, 65.024075, 25.470499, 2017:07:04 20:07:29
35550200862, 65.024069, 25.470455, 2017:07:04 20:01:45
34909399713, 65.023986, 25.470769, 2017:07:04 20:01:16
34909391413, 65.023986, 25.470769, 2017:07:04 19:59:38
34909382603, 65.023986, 25.470769, 2017:07:04 19:59:03
35331355790, 65.020163, 25.480150, 2017:07:01 12:38:15
35660752186, 65.022555, 25.468858, 2017:07:03 23:15:09
35525935562, 65.022016, 25.470163, 2017:06:30 19:43:24
35655532526, 65.015791, 25.466580, 2017:06:30 19:36:30
35694275075, 65.021766, 25.470572, 2017:07:03 17:56:52
35694234945, 65.021880, 25.470572, 2017:07:03 17:59:48
35694204195, 65.021883, 25.470566, 2017:07:03 17:58:25
34885022713, 65.021888, 25.470572, 2017:07:03 17:58:11
35652371556, 65.000000, 25.505000, 2017:07:01 23:46:59
34860940333, 65.015636, 25.468830, 2017:07:02 16:08:43
34860904403, 65.014233, 25.463572, 2017:07:02 16:05:55
35282867290, 65.016227, 25.460236, 2017:07:02 15:42:19
35266470000, 65.016380, 25.526679, None
34842435893, 65.022105, 25.470027, 2017:07:01 18:08:59
35482734802, 65.021966, 25.470511, 2017:07:01 17:50:12
34842335033, 65.022011, 25.470130, 2017:07:01 18:07:54
34804778053, 65.015911, 25.437400, 2017:06:29 19:36:32
35574824546, 65.015311, 25.461744, 2017:06:29 19:36:10
35210764940, 65.013555, 25.475297, 2017:06:28 23:09:55
34585800594, 64.984113, 25.509597, 2017:06:20 09:22:05
35298057511, 65.022133, 25.470827, 2017:06:20 10:27:26
34581012024, 65.021669, 25.469849, 2017:06:20 13:00:01
34599599953, 65.013869, 25.473808, 2017:06:19 20:04:52
34599540663, 65.013969, 25.473525, 2017:06:19 20:03:54
35210971292, 65.021822, 25.469724, 2017:06:18 05:31:43
35372019285, 65.022030, 25.470427, 2017:06:17 18:06:05
35372016975, 65.022030, 25.470427, None
35372014885, 65.022030, 25.470427, 2017:06:17 18:05:12
35242280241, 65.022555, 25.468858, None
34516790533, 65.021597, 25.438597, 2017:06:15 19:35:50
34483285654, 65.021591, 25.438611, 2017:06:15 19:34:18
34516719203, 65.022200, 25.441391, 2017:06:15 19:20:15
34483238144, 65.022205, 25.441394, 2017:06:15 19:20:25
35326753715, 65.024158, 25.457075, 2017:06:15 18:22:43
35159914992, 65.021647, 25.463947, 2017:06:15 18:19:27
34511072393, 65.021491, 25.471169, 2017:06:15 14:13:08
34491572613, 65.014799, 25.463763, None
34833964730, 65.012894, 25.466266, None
35181875735, 65.026363, 25.471094, None
34327137824, 65.025838, 25.456233, None
34700308010, 65.027877, 25.447897, None
34912965202, 65.015791, 25.466580, 2017:06:03 23:21:28
34688686460, 65.021952, 25.470483, None
34688455610, 65.021952, 25.470483, None
34263760053, 65.021955, 25.470388, None
34871636152, 65.013525, 25.468422, None
34884046371, 65.013947, 25.466694, None
34168835064, 65.015791, 25.466580, 2017:05:31 17:26:35
34151475824, 65.015911, 25.437497, None
34183803983, 65.015911, 25.437511, None
34953964876, 64.988930, 25.434186, None
34785540232, 65.012097, 25.469269, None
34557311490, 65.013755, 25.472969, None
34557304580, 65.013724, 25.473080, None
34944746515, 65.013672, 25.472916, None
34887421656, 65.015236, 25.461319, None
34795917771, 65.021916, 25.470436, None
34887287386, 65.021916, 25.470438, None
34927693675, 65.022177, 25.470491, 2017:05:27 18:09:08
34540310820, 65.022075, 25.470125, 2017:05:27 18:06:10
34763736812, 65.021911, 25.470469, None
34083897524, 65.021905, 25.470505, 2017:05:27 19:01:48
34071426374, 65.021869, 25.470263, 2017:05:26 19:22:11
34911392795, 65.015436, 25.463240, 2017:05:26 13:04:07
34747908212, 65.015436, 25.463240, 2017:05:26 13:05:06
34870820616, 65.015436, 25.463240, 2017:05:26 13:12:17
34779444191, 65.015436, 25.463240, 2017:05:26 13:06:03
34100329573, 65.015436, 25.463240, 2017:05:26 13:06:43
34911342285, 65.015436, 25.463240, 2017:05:26 13:07:20
34747859792, 65.015436, 25.463240, 2017:05:26 13:08:00
34100285083, 65.015436, 25.463240, 2017:05:26 13:10:22
34524178770, 65.015436, 25.463240, 2017:05:26 13:10:57
34068229304, 65.015436, 25.463240, 2017:05:26 13:13:25
34911251955, 65.015436, 25.463240, 2017:05:26 13:13:59
34068209084, 65.015436, 25.463240, 2017:05:26 13:14:43
34911237365, 65.015436, 25.463240, 2017:05:26 13:14:57
34911230385, 65.015436, 25.463240, 2017:05:26 13:15:51
34524067670, 65.015436, 25.463240, 2017:05:26 13:16:17
34068144874, 65.015436, 25.463240, 2017:05:26 13:16:39
36817581494, 63.107009, 21.671111, 2017:09:26 11:04:51
36735489743, 63.097515, 21.612918, 2017:09:29 14:18:24
23475005338, 63.089257, 21.621598, None
37412484375, 63.096827, 21.631951, None
37068073536, 63.107514, 21.609957, None
36955169205, 63.088252, 21.606159, None
36734383391, 63.096047, 21.615550, 2017:08:24 11:12:56
36825142465, 63.088252, 21.605944, 2017:08:25 16:37:52
35719439813, 63.094722, 21.616388, 2017:08:07 13:36:10
36182521322, 63.105913, 21.618994, 2017:08:01 12:24:37
36182513602, 63.096858, 21.604077, 2017:08:01 17:25:43
35971682241, 63.098027, 21.602633, None
36013257925, 63.097881, 21.621476, 2017:07:05 14:26:48
35263803186, 63.110707, 21.615021, None
35233205205, 63.093467, 21.612768, None
34835333880, 63.110047, 21.607596, None
34820631165, 63.102897, 21.671494, 2017:05:19 17:15:42
34471540736, 63.095957, 21.616491, None
33626857780, 63.096490, 21.614200, None
33781115092, 63.095875, 21.615922, None
33527575336, 63.095175, 21.611233, 2017:03:21 12:08:39
33040061140, 63.092360, 21.603455, 2017:01:07 14:11:58
32608820913, 63.092360, 21.603455, 2017:01:07 14:15:34
32917421090, 63.093855, 21.602425, None
33046040386, 63.094593, 21.615858, None
32253283153, 63.096316, 21.615289, None
32843612462, 63.091350, 21.606373, 2017:02:19 19:19:14
32938302705, 63.102443, 21.601490, 2016:12:09 14:15:24
32813959701, 63.103084, 21.596286, 2016:12:09 14:17:32
32779846632, 63.097360, 21.601374, 2017:02:16 14:37:52
32506471940, 63.096147, 21.600997, 2017:02:13 15:48:49
32617919381, 63.074708, 21.638122, 2017:02:05 14:30:21
32100644780, 63.074722, 21.643055, 2017:01:06 14:06:13
32100644040, 63.074722, 21.643055, 2017:01:06 14:06:15
32438710026, 63.074722, 21.643055, 2017:01:06 14:05:04
32327666352, 63.074722, 21.643055, 2017:01:06 14:04:58
32327666142, 63.074722, 21.643055, 2017:01:06 14:04:12
32438705356, 63.074722, 21.643055, 2017:01:06 14:05:02
32327574052, 63.104444, 21.690000, None
32438620476, 63.111111, 21.698333, None
31631882844, 63.074758, 21.635298, None
32089588930, 63.074444, 21.642500, None
31564089484, 63.099355, 21.599016, None
31581749243, 63.095475, 21.619205, 2017:01:18 21:03:50
31328418594, 63.098100, 21.602563, None
31794835940, 63.102450, 21.601482, None
31328416864, 63.102353, 21.601611, None
31794832950, 63.108429, 21.604701, None
31328413974, 63.100275, 21.601793, None
31270993113, 63.086698, 21.684393, 2016:09:30 15:48:10
31957279091, 63.079743, 21.641263, 2013:04:06 15:07:22
31914621251, 63.090827, 21.605927, None
31190650904, 63.090822, 21.605936, None
31914618931, 63.102353, 21.601611, None
31190648254, 63.097401, 21.617597, None
31830074621, 63.101605, 21.619391, 2016:12:28 21:14:42
30965672714, 63.095500, 21.601000, None
30996728093, 63.095557, 21.615729, None
30585607234, 63.114894, 21.706519, 2016:12:04 09:57:10
30562867093, 63.096286, 21.616136, 2016:09:17 13:41:10
30490305714, 63.095078, 21.612006, 2016:09:17 14:59:00
31156507242, 63.092107, 21.600086, None
31180781481, 63.095078, 21.612006, 2016:09:17 15:16:48
31064454111, 63.097341, 21.621726, 2016:10:13 15:09:35
30371257173, 63.106165, 21.661326, 2016:11:06 11:44:36
30279235413, 63.093900, 21.601777, 2016:11:11 19:19:34
30799090062, 63.093909, 21.599953, 2016:11:11 19:26:04
30799089882, 63.093453, 21.602571, 2016:11:11 19:34:50
30879216976, 63.091404, 21.605167, 2016:11:11 19:38:11
30879216696, 63.091365, 21.605232, 2016:11:11 19:43:17
30013175303, 63.090660, 21.613025, None
30491041935, 63.094410, 21.617719, None
30374125212, 63.094410, 21.617719, None
30403818241, 63.094410, 21.617719, None
29986580545, 63.083008, 21.638619, 2016:09:17 11:03:59
29411608733, 63.097475, 21.621756, 2016:09:22 10:36:24
30038626155, 63.097475, 21.621756, 2016:09:22 10:30:56
29954979661, 63.097475, 21.621756, 2016:09:22 10:30:37
29692834030, 63.082766, 21.639333, 2016:09:17 16:13:40
29361449914, 63.097475, 21.621756, 2016:09:22 10:11:43
29349938154, 63.097475, 21.621756, 2016:09:22 08:16:05
29935067506, 63.096096, 21.626370, 2016:09:22 08:02:47
29675427410, 63.095863, 21.619697, 2016:09:22 07:52:37
29919388215, 63.082766, 21.639333, 2016:09:17 16:17:41
29832328071, 63.094136, 21.593799, 2016:09:15 19:53:38
29596752620, 63.095863, 21.619697, 2016:09:22 07:52:20
