termPHOTOID, LATITUDE, LONGITUDE, DATETIME
36358813113, 62.249177, 25.733675, 2017:09:09 13:05:56
36336400694, 62.249030, 25.733494, 2017:09:09 13:06:29
36336400234, 62.249030, 25.733494, 2017:09:09 13:06:32
36336399874, 62.249030, 25.733494, 2017:09:09 13:06:33
36336399484, 62.249055, 25.733244, 2017:09:09 13:07:24
36336398784, 62.249055, 25.733244, 2017:09:09 13:07:25
37173100025, 62.249063, 25.733394, 2017:09:09 13:07:30
37173098435, 62.249063, 25.733394, 2017:09:09 13:07:37
36775451540, 62.249077, 25.733352, 2017:09:09 13:10:39
36358799133, 62.248975, 25.733322, 2017:09:09 13:11:01
36775447660, 62.248975, 25.733322, 2017:09:09 13:11:01
37030933951, 62.248975, 25.733322, 2017:09:09 13:11:03
36775444230, 62.248975, 25.733322, 2017:09:09 13:11:05
36336382064, 62.248975, 25.733322, 2017:09:09 13:11:07
36775441400, 62.248975, 25.733322, 2017:09:09 13:11:09
36775439460, 62.248819, 25.733108, 2017:09:09 13:11:33
37173086355, 62.248944, 25.733344, 2017:09:09 13:12:07
37030928931, 62.248944, 25.733344, 2017:09:09 13:12:08
36983401476, 62.248980, 25.733477, 2017:09:09 13:12:22
36983400336, 62.248800, 25.733472, 2017:09:09 13:13:17
37001286902, 62.248800, 25.733472, 2017:09:09 13:13:21
37173081825, 62.248800, 25.733472, 2017:09:09 13:13:22
37001284992, 62.248888, 25.733502, 2017:09:09 13:13:46
37173079255, 62.248888, 25.733502, 2017:09:09 13:14:05
37030921371, 62.249002, 25.733405, 2017:09:09 13:14:17
37001277752, 62.248961, 25.733377, 2017:09:09 13:14:56
37001275652, 62.248911, 25.733433, 2017:09:09 13:15:20
37030917281, 62.249069, 25.733522, 2017:09:09 13:16:04
37030916311, 62.249069, 25.733522, 2017:09:09 13:16:04
37001270382, 62.249216, 25.734011, 2017:09:09 13:18:57
37001268792, 62.249216, 25.734011, 2017:09:09 13:18:58
37030913021, 62.249261, 25.733969, 2017:09:09 13:20:46
36775420110, 62.249155, 25.733886, 2017:09:09 13:45:30
37173072035, 62.249155, 25.733886, 2017:09:09 13:45:37
36358757663, 62.249155, 25.733886, 2017:09:09 13:45:41
37030904731, 62.249130, 25.734116, 2017:09:09 13:45:43
37001255182, 62.249130, 25.734116, 2017:09:09 13:45:44
36336357794, 62.249219, 25.733761, 2017:09:09 13:46:07
36336356754, 62.249227, 25.733744, 2017:09:09 13:46:18
37001250522, 62.249261, 25.733744, 2017:09:09 13:46:36
37001249182, 62.249208, 25.733752, 2017:09:09 13:47:05
37001248192, 62.249208, 25.733752, 2017:09:09 13:47:09
37001246872, 62.249208, 25.733752, 2017:09:09 13:47:10
36358747723, 62.249208, 25.733752, 2017:09:09 13:47:11
37001245312, 62.249222, 25.733777, 2017:09:09 13:47:12
36358746563, 62.249222, 25.733777, 2017:09:09 13:47:13
37173054375, 62.249222, 25.733777, 2017:09:09 13:47:14
37001241762, 62.249222, 25.733777, 2017:09:09 13:47:15
36775401120, 62.249308, 25.733827, 2017:09:09 13:47:49
36983368216, 62.249308, 25.733827, 2017:09:09 13:47:51
36358661573, 62.249308, 25.733827, 2017:09:09 13:47:52
37001128872, 62.249308, 25.733827, 2017:09:09 13:47:52
36336148964, 62.249308, 25.733827, 2017:09:09 13:47:52
36336073414, 62.249155, 25.733505, 2017:09:09 13:48:50
36358420043, 62.249155, 25.733505, 2017:09:09 13:48:50
36358392893, 62.249155, 25.733505, 2017:09:09 13:48:52
36983040856, 62.249197, 25.733663, 2017:09:09 13:49:02
36983008226, 62.249197, 25.733663, 2017:09:09 13:49:08
36774887980, 62.249197, 25.733663, 2017:09:09 13:49:10
37000856852, 62.249197, 25.733663, 2017:09:09 13:49:11
37172604625, 62.249213, 25.733733, 2017:09:09 13:49:14
37000824692, 62.249261, 25.733827, 2017:09:09 13:49:52
36335870924, 62.249261, 25.733827, 2017:09:09 13:49:55
37172588525, 62.249261, 25.733827, 2017:09:09 13:49:56
37172585745, 62.249261, 25.733827, 2017:09:09 13:49:56
37000818072, 62.249252, 25.733733, 2017:09:09 13:50:01
37172582225, 62.249252, 25.733733, 2017:09:09 13:50:06
37172580125, 62.249244, 25.733797, 2017:09:09 13:50:15
37000812912, 62.249244, 25.733797, 2017:09:09 13:50:18
37000812522, 62.249244, 25.733797, 2017:09:09 13:50:19
37172577195, 62.249277, 25.733647, 2017:09:09 13:51:26
36774799810, 62.249297, 25.733686, 2017:09:09 13:51:29
36358198053, 62.249297, 25.733686, 2017:09:09 13:51:31
36358195903, 62.249297, 25.733686, 2017:09:09 13:51:31
37000804302, 62.249180, 25.733752, 2017:09:09 13:53:32
36358192953, 62.249086, 25.733980, 2017:09:09 13:55:18
36358191573, 62.249086, 25.733980, 2017:09:09 13:55:19
36358187563, 62.249086, 25.733980, 2017:09:09 13:55:20
37030395931, 62.249086, 25.733980, 2017:09:09 13:55:24
37172568585, 62.249244, 25.733780, 2017:09:09 13:56:27
36358182863, 62.249227, 25.733780, 2017:09:09 13:57:28
36358181723, 62.249227, 25.733780, 2017:09:09 13:57:30
36774775580, 62.249227, 25.733780, 2017:09:09 13:57:30
36358178243, 62.249227, 25.733780, 2017:09:09 13:57:30
36982875786, 62.249227, 25.733780, 2017:09:09 13:57:36
36982874826, 62.249163, 25.733741, 2017:09:09 13:58:40
37172557345, 62.249250, 25.733763, 2017:09:09 13:58:56
37030384421, 62.249261, 25.733758, 2017:09:09 13:59:20
37030382771, 62.249172, 25.733619, 2017:09:09 14:00:39
36982871306, 62.249083, 25.733397, 2017:09:09 14:06:11
37030379461, 62.249047, 25.733347, 2017:09:09 14:06:21
36335842564, 62.249147, 25.733436, 2017:09:09 14:06:58
37172543735, 62.249147, 25.733436, 2017:09:09 14:07:00
37172542955, 62.249147, 25.733436, 2017:09:09 14:07:10
36335839554, 62.249152, 25.733480, 2017:09:09 14:07:11
36358156293, 62.249069, 25.733458, 2017:09:09 14:07:53
36358155503, 62.249069, 25.733327, 2017:09:09 14:07:58
37172533165, 62.249069, 25.733327, 2017:09:09 14:07:59
36358153223, 62.249066, 25.733372, 2017:09:09 14:08:14
36358152293, 62.249066, 25.733372, 2017:09:09 14:08:17
36358151973, 62.249072, 25.733330, 2017:09:09 14:08:27
37030366461, 62.249027, 25.733444, 2017:09:09 14:08:58
36774739520, 62.249027, 25.733444, 2017:09:09 14:09:04
36335825694, 62.249027, 25.733444, 2017:09:09 14:09:09
37172522815, 62.249027, 25.733444, 2017:09:09 14:09:10
36335823744, 62.249047, 25.733444, 2017:09:09 14:09:12
36982857696, 62.249047, 25.733444, 2017:09:09 14:09:12
36774736210, 62.249041, 25.733477, 2017:09:09 14:09:35
36335819274, 62.249041, 25.733477, 2017:09:09 14:09:39
36335817154, 62.249141, 25.733277, 2017:09:09 14:09:53
37000763472, 62.249055, 25.733402, 2017:09:09 14:10:32
36982852946, 62.249300, 25.733997, 2017:09:09 14:17:27
36982851746, 62.249300, 25.733997, 2017:09:09 14:17:34
37000761652, 62.249300, 25.733997, 2017:09:09 14:17:41
36335813244, 62.249105, 25.734122, 2017:09:09 14:19:57
36982846306, 62.248958, 25.734005, 2017:09:09 14:22:02
36335810934, 62.248958, 25.734005, 2017:09:09 14:22:09
36335810044, 62.248866, 25.734491, 2017:09:09 14:23:08
36335807114, 62.248819, 25.734130, 2017:09:09 14:23:21
36774723560, 62.248877, 25.734163, 2017:09:09 14:23:28
36982833856, 62.248947, 25.734322, 2017:09:09 14:23:55
36982832106, 62.248930, 25.734263, 2017:09:09 14:24:15
36774718670, 62.248922, 25.734119, 2017:09:09 14:24:26
36358117463, 62.248922, 25.734119, 2017:09:09 14:24:28
37172500855, 62.248922, 25.734119, 2017:09:09 14:24:35
37172500195, 62.248922, 25.734119, 2017:09:09 14:24:40
36982826476, 62.249227, 25.733972, 2017:09:09 14:25:23
36358113113, 62.249269, 25.733850, 2017:09:09 14:25:28
37172496215, 62.249269, 25.733850, 2017:09:09 14:25:34
36358110773, 62.249247, 25.733730, 2017:09:09 14:25:47
37000745252, 62.249247, 25.733730, 2017:09:09 14:25:49
37000743542, 62.249247, 25.733730, 2017:09:09 14:25:51
36358106413, 62.249247, 25.733730, 2017:09:09 14:25:52
36358105083, 62.249247, 25.733730, 2017:09:09 14:25:55
36982810826, 62.249247, 25.733730, 2017:09:09 14:26:05
37172483735, 62.249455, 25.733680, 2017:09:09 14:26:55
37030325441, 62.249300, 25.733641, 2017:09:09 15:12:24
37172479295, 62.249194, 25.733661, 2017:09:09 15:12:26
37172477535, 62.249194, 25.733655, 2017:09:09 15:12:26
36358100253, 62.249186, 25.733766, 2017:09:09 15:14:26
37172471135, 62.249186, 25.733766, 2017:09:09 15:14:29
37172468095, 62.249186, 25.733766, 2017:09:09 15:14:30
36358098593, 62.249186, 25.733766, 2017:09:09 15:14:31
37172460115, 62.249186, 25.733766, 2017:09:09 15:14:32
37172457175, 62.249186, 25.733766, 2017:09:09 15:14:32
37030317141, 62.249186, 25.733766, 2017:09:09 15:14:34
36335767784, 62.249191, 25.733677, 2017:09:09 15:14:51
36335767334, 62.249191, 25.733677, 2017:09:09 15:14:53
37030315351, 62.249191, 25.733677, 2017:09:09 15:14:56
37172443775, 62.249175, 25.733608, 2017:09:09 15:14:57
37172441245, 62.249175, 25.733608, 2017:09:09 15:14:59
37172436515, 62.249127, 25.733666, 2017:09:09 15:15:50
36982793236, 62.249127, 25.733666, 2017:09:09 15:15:55
37030309271, 62.249127, 25.733666, 2017:09:09 15:15:56
36982791136, 62.249138, 25.733669, 2017:09:09 15:15:57
36774693620, 62.249138, 25.733669, 2017:09:09 15:16:05
37030304901, 62.249094, 25.733686, 2017:09:09 15:17:51
37000687012, 62.249202, 25.733641, 2017:09:09 15:22:09
37030281561, 62.249013, 25.733327, 2017:09:09 15:24:00
36774669280, 62.249013, 25.733327, 2017:09:09 15:24:00
37172402875, 62.249013, 25.733327, 2017:09:09 15:24:00
37172401285, 62.249013, 25.733327, 2017:09:09 15:24:00
36982760146, 62.249013, 25.733327, 2017:09:09 15:24:00
